size,fine,medium,coarse
1.0 ,0.000 ,0.000 ,0.000 
1.0 ,0.000 ,0.000 ,0.000 
1.0 ,0.000 ,0.000 ,0.000 
1.1 ,0.000 ,0.000 ,0.000 
1.1 ,0.000 ,0.000 ,0.000 
1.1 ,0.000 ,0.000 ,0.000 
1.1 ,0.000 ,0.000 ,0.000 
1.1 ,0.000 ,0.000 ,0.000 
1.1 ,0.000 ,0.000 ,0.000 
1.2 ,0.000 ,0.000 ,0.000 
1.2 ,0.000 ,0.000 ,0.000 
1.2 ,0.000 ,0.000 ,0.000 
1.2 ,0.000 ,0.000 ,0.000 
1.2 ,0.000 ,0.000 ,0.000 
1.3 ,0.000 ,0.000 ,0.000 
1.3 ,0.000 ,0.000 ,0.000 
1.3 ,0.000 ,0.000 ,0.000 
1.3 ,0.000 ,0.000 ,0.000 
1.4 ,0.000 ,0.000 ,0.000 
1.4 ,0.000 ,0.000 ,0.000 
1.4 ,0.000 ,0.000 ,0.000 
1.4 ,0.000 ,0.000 ,0.000 
1.5 ,0.000 ,0.000 ,0.000 
1.5 ,0.000 ,0.000 ,0.000 
1.5 ,0.000 ,0.000 ,0.000 
1.5 ,0.000 ,0.000 ,0.000 
1.6 ,0.000 ,0.000 ,0.000 
1.6 ,0.000 ,0.000 ,0.000 
1.6 ,0.000 ,0.000 ,0.000 
1.6 ,0.000 ,0.000 ,0.000 
1.7 ,0.000 ,0.000 ,0.000 
1.7 ,0.000 ,0.000 ,0.000 
1.7 ,0.000 ,0.000 ,0.000 
1.8 ,0.000 ,0.000 ,0.000 
1.8 ,0.000 ,0.000 ,0.000 
1.8 ,0.000 ,0.000 ,0.000 
1.8 ,0.000 ,0.000 ,0.000 
1.9 ,0.000 ,0.000 ,0.000 
1.9 ,0.000 ,0.000 ,0.000 
1.9 ,0.000 ,0.000 ,0.000 
2.0 ,0.000 ,0.000 ,0.000 
2.0 ,0.000 ,0.000 ,0.000 
2.0 ,0.000 ,0.000 ,0.000 
2.1 ,0.000 ,0.000 ,0.000 
2.1 ,0.000 ,0.000 ,0.000 
2.2 ,0.000 ,0.000 ,0.000 
2.2 ,0.000 ,0.000 ,0.000 
2.2 ,0.000 ,0.000 ,0.000 
2.3 ,0.000 ,0.000 ,0.000 
2.3 ,0.000 ,0.000 ,0.000 
2.3 ,0.000 ,0.000 ,0.000 
2.4 ,0.000 ,0.000 ,0.000 
2.4 ,0.000 ,0.000 ,0.000 
2.5 ,0.000 ,0.000 ,0.000 
2.5 ,0.000 ,0.000 ,0.000 
2.6 ,0.000 ,0.000 ,0.000 
2.6 ,0.000 ,0.000 ,0.000 
2.6 ,0.000 ,0.000 ,0.000 
2.7 ,0.000 ,0.000 ,0.000 
2.7 ,0.000 ,0.000 ,0.000 
2.8 ,0.000 ,0.000 ,0.000 
2.8 ,0.000 ,0.000 ,0.000 
2.9 ,0.000 ,0.000 ,0.000 
2.9 ,0.000 ,0.000 ,0.000 
3.0 ,0.000 ,0.000 ,0.000 
3.0 ,0.000 ,0.000 ,0.000 
3.1 ,0.000 ,0.000 ,0.000 
3.1 ,0.000 ,0.000 ,0.000 
3.2 ,0.000 ,0.000 ,0.000 
3.2 ,0.000 ,0.000 ,0.000 
3.3 ,0.000 ,0.000 ,0.000 
3.4 ,0.000 ,0.000 ,0.000 
3.4 ,0.000 ,0.000 ,0.000 
3.5 ,0.000 ,0.000 ,0.000 
3.5 ,0.000 ,0.000 ,0.000 
3.6 ,0.000 ,0.000 ,0.000 
3.7 ,0.000 ,0.000 ,0.000 
3.7 ,0.000 ,0.000 ,0.000 
3.8 ,0.000 ,0.000 ,0.000 
3.8 ,0.000 ,0.000 ,0.000 
3.9 ,0.000 ,0.000 ,0.000 
4.0 ,0.000 ,0.000 ,0.000 
4.0 ,0.000 ,0.000 ,0.000 
4.1 ,0.000 ,0.000 ,0.000 
4.2 ,0.000 ,0.000 ,0.000 
4.3 ,0.000 ,0.000 ,0.000 
4.3 ,0.000 ,0.000 ,0.000 
4.4 ,0.000 ,0.000 ,0.000 
4.5 ,0.000 ,0.000 ,0.000 
4.6 ,0.000 ,0.000 ,0.000 
4.6 ,0.002 ,0.000 ,0.000 
4.7 ,0.005 ,0.000 ,0.000 
4.8 ,0.008 ,0.000 ,0.000 
4.9 ,0.011 ,0.000 ,0.000 
5.0 ,0.015 ,0.000 ,0.000 
5.1 ,0.020 ,0.000 ,0.000 
5.1 ,0.025 ,0.000 ,0.000 
